ESTADO,CIUDAD,DISTRIBUIDOR,PARROQUIA,MUNICIPIO
Aragua ,Palo Negro,🔷 Grupo Disbattery 🟦,Palo Negro,Libertador
Aragua ,San Casimiro,🔷 Grupo Disbattery 🟦,San Casimiro,San Casimiro
Aragua ,San Mateo,🔷 Grupo Disbattery 🟦,Bolívar,Bolívar
Aragua ,San Sebastián,🔷 Grupo Disbattery 🟦,San Sebastían,San Sebastián
Aragua ,Santa Cruz de Aragua,🔷 Grupo Disbattery 🟦,Santa Cruz de Aragua,José Angel Lamas
Aragua ,Tocorón,🔷 Grupo Disbattery 🟦,Zamora,Zamora
Aragua ,Turmero,🔷 Grupo Disbattery 🟦,Turmero,Santiago Mariño
Aragua ,Villa de Cura,🔷 Grupo Disbattery 🟦,Zamora,Zamora
Aragua ,Zuata,🔷 Grupo Disbattery 🟦,José Félix Ribas,José Félix Ribas
Barinas ,Barinas,🏆 Grupo Victoria 🟡,Barinas,Barinas
Barinas ,Barinitas,🏆 Grupo Victoria 🟡,Bolívar,Bolívar
Barinas ,Barrancas,🏆 Grupo Victoria 🟡,Barrancas,Cruz Paredes
Barinas ,Calderas,🏆 Grupo Victoria 🟡,Bolívar,Bolívar
Barinas ,Capitanejo,🏆 Grupo Victoria 🟡,Ciudad Bolívia,Pedraza
Barinas ,Ciudad Bolivia,🏆 Grupo Victoria 🟡,Ciudad Bolívia,Pedraza
Barinas ,El Cantón,🏆 Grupo Victoria 🟡,El Cantón,Andrés Eloy Blanco
Barinas ,Las Veguitas,🏆 Grupo Victoria 🟡,Sabaneta,Alberto Arvelo Torrealba
Barinas ,Libertad de Barinas,🏆 Grupo Victoria 🟡,Libertad,Rojas
Barinas ,Sabaneta,🏆 Grupo Victoria 🟡,Sabaneta,Alberto Arvelo Torrealba
Barinas ,Santa Bárbara de Barinas,🏆 Grupo Victoria 🟡,Santa Bárbara,Ezequiel Zamora
Barinas ,Socopó,🏆 Grupo Victoria 🟡,Ticoporo,Antonio José de Sucre
Bolívar ,Caicara del Orinoco,🌅 Oceano Pacifico 🟧,Cedeño,Cedeño
Bolívar ,Canaima,🌅 Oceano Pacifico 🟧,Gran Sabana,Gran Sabana
Bolívar ,Ciudad Bolívar,🌅 Oceano Pacifico 🟧,Catedral,Heres
Bolívar ,Ciudad Piar,🌅 Oceano Pacifico 🟧,Ciudad Piar,Raúl Leoni
Bolívar ,El Callao,🌅 Oceano Pacifico 🟧,El Callao,El Callao
Bolívar ,El Dorado,🌅 Oceano Pacifico 🟧,Sifontes,Sifontes
Bolívar ,El Manteco,🌅 Oceano Pacifico 🟧,Andrés Eloy Blanco,Piar
Bolívar ,El Palmar,🌅 Oceano Pacifico 🟧,Padre Pedro Chien,Padre Pedro Chien
Bolívar ,El Pao,🌅 Oceano Pacifico 🟧,Andrés Eloy Blanco,Piar
Bolívar ,Guasipati,🌅 Oceano Pacifico 🟧,Roscio,Roscio
Bolívar ,Guri,🌅 Oceano Pacifico 🟧,Guri,Raúl Leoni
Bolívar ,La Paragua,🌅 Oceano Pacifico 🟧,La Paragua,Angostura
Bolívar ,Matanzas,🌅 Oceano Pacifico 🟧,Andrés Eloy Blanco,Piar
Bolívar ,Puerto Ordaz,🌅 Oceano Pacifico 🟧,Cachamay,Caroní
Bolívar ,San Félix,🌅 Oceano Pacifico 🟧,Cachamay,Caroní
Bolívar ,Santa Elena de Uairén,🌅 Oceano Pacifico 🟧,Gran Sabana,Gran Sabana
Bolívar ,Tumeremo,🌅 Oceano Pacifico 🟧,Sifontes,Sifontes
Bolívar ,Unare,🌅 Oceano Pacifico 🟧,Cachamay,Caroní
Bolívar ,Upata,🌅 Oceano Pacifico 🟧,Andrés Eloy Blanco,Piar
Carabobo ,Bejuma,✨Blitz 2000🔵,Bejuma,Bejuma
Carabobo ,Belén,✨Blitz 2000🔵,Candelaria,Valencia
Carabobo ,Campo de Carabobo,✨Blitz 2000🔵,Palo Negro,Libertador
Carabobo ,Canoabo,✨Blitz 2000🔵,Bejuma,Bejuma
Carabobo ,Central Tacarigua,✨Blitz 2000🔵,Güigüe,Carlos Arvelo
Carabobo ,Chirgua,✨Blitz 2000🔵,Bejuma,Bejuma
Carabobo ,Ciudad Alianza,✨Blitz 2000🔵,Ciudad Alianza,Guacara
Carabobo ,El Palito,✨Blitz 2000🔵,Bartolomé Salóm,Puerto Cabello
Carabobo ,Guacara,✨Blitz 2000🔵,Ciudad Alianza,Guacara
Carabobo ,Guigue,✨Blitz 2000🔵,Güigüe,Carlos Arvelo
Carabobo ,Las Trincheras,✨Blitz 2000🔵,Naguanagua,Naguanagua
Carabobo ,Los Guayos,✨Blitz 2000🔵,Los Guayos,Los Guayos
Carabobo ,Mariara,✨Blitz 2000🔵,Mariara,Diego Ibarra
Carabobo ,Miranda,✨Blitz 2000🔵,Miranda,Miranda
Carabobo ,Montalbán,✨Blitz 2000🔵,Montalbán,Montalbán
Carabobo ,Morón,✨Blitz 2000🔵,Morón,Juan José Mora
Carabobo ,Naguanagua,✨Blitz 2000🔵,Naguanagua,Naguanagua
Carabobo ,Puerto Cabello,✨Blitz 2000🔵,Bartolomé Salóm,Puerto Cabello
Carabobo ,San Joaquín,✨Blitz 2000🔵,San Joaquín,San Joaquín
Carabobo ,Tocuyito,✨Blitz 2000🔵,Palo Negro,Libertador
Carabobo ,Urama,✨Blitz 2000🔵,Morón,Juan José Mora
Carabobo ,Valencia,✨Blitz 2000🔵,Candelaria,Valencia
Carabobo ,Vigirimita,✨Blitz 2000🔵,Bejuma,Bejuma
Cojedes ,Aguirre,✨Blitz 2000🔵,El Amparo,Ricaurte
Cojedes ,Apartaderos Cojedes,✨Blitz 2000🔵,Cojedes,Anzoátegui
Cojedes ,Arismendi,✨Blitz 2000🔵,El Amparo,Ricaurte
Cojedes ,Camuriquito,✨Blitz 2000🔵,La Aguadita,Lima Blanco
Cojedes ,El Baúl,✨Blitz 2000🔵,El Baúl,Girardot
Cojedes ,El Limón,✨Blitz 2000🔵,El Amparo,Ricaurte
Cojedes ,El Pao Cojedes,✨Blitz 2000🔵,El Pao,Pao de San Juan Bautista
Cojedes ,El Socorro,✨Blitz 2000🔵,Cojedes,Anzoátegui
Cojedes ,La Aguadita,✨Blitz 2000🔵,Adaure,Falcón
Cojedes ,Las Vegas,✨Blitz 2000🔵,Elorza,Rómulo Gallegos
Cojedes ,Libertad de Cojedes,✨Blitz 2000🔵,El Amparo,Ricaurte
Cojedes ,Mapuey,✨Blitz 2000🔵,La Aguadita,Lima Blanco
Cojedes ,Piñedo,✨Blitz 2000🔵,La Aguadita,Lima Blanco
Cojedes ,Samancito,✨Blitz 2000🔵,La Aguadita,Lima Blanco
Cojedes ,San Carlos,✨Blitz 2000🔵,San Carlos de Austria,San Carlos
Cojedes ,Sucre,✨Blitz 2000🔵,Cagua,Sucre
Cojedes ,Tinaco,✨Blitz 2000🔵,General en Jefe José Laurencio Silva,Tinaco
Cojedes ,Tinaquillo,✨Blitz 2000🔵,Adaure,Falcón
Cojedes ,Vallecito,✨Blitz 2000🔵,El Amparo,Ricaurte
Delta Amacuro ,Tucupita,🌅 Oceano Pacifico 🟧,San José (Delta Amacuro),Tucupita
Distrito Capital ,Caracas,🔷 Grupo Disbattery 🟦,Palo Negro,Libertador
Distrito Capital ,El Junquito,🔷 Grupo Disbattery 🟦,Palo Negro,Libertador
Falcón ,Adícora,🔷 Grupo Disbattery 🟦,Adaure,Falcón
Falcón ,Boca de Aroa,🔷 Grupo Disbattery 🟦,Boca de Aroa,Silva
Falcón ,Cabure,🔷 Grupo Disbattery 🟦,Cabure,Petit
Falcón ,Capadare,🔷 Grupo Disbattery 🟦,Capadare,Acosta
Falcón ,Capatárida,🔷 Grupo Disbattery 🟦,Bariro,Buchivacoa
Falcón ,Chichiriviche,🔷 Grupo Disbattery 🟦,Boca del Tocuyo,Monseñor Iturriza
Falcón ,Churuguara,🔷 Grupo Disbattery 🟦,Agua Larga,Federación
Falcón ,Coro,🔷 Grupo Disbattery 🟦,Miranda,Miranda
Falcón ,Cumarebo,🔷 Grupo Disbattery 🟦,Zamora,Zamora
Falcón ,Dabajuro,🔷 Grupo Disbattery 🟦,Dabajuro,Dabajuro
Falcón ,Judibana,🔷 Grupo Disbattery 🟦,Norte,Carirubana
Falcón ,La Cruz de Taratara,🔷 Grupo Disbattery 🟦,Cagua,Sucre
Falcón ,La Vela de Coro,🔷 Grupo Disbattery 🟦,La Vela de Coro,Colina
Falcón ,Los Taques,🔷 Grupo Disbattery 🟦,Los Taques,Los Taques
Falcón ,Maparari,🔷 Grupo Disbattery 🟦,Mene de Mauroa,Mauroa
Falcón ,Mene de Mauroa,🔷 Grupo Disbattery 🟦,Mene de Mauroa,Mauroa
Falcón ,Mirimire,🔷 Grupo Disbattery 🟦,San Francisco,San Francisco
Falcón ,Pedregal,🔷 Grupo Disbattery 🟦,Agua Clara,Democracia
Falcón ,Píritu Falcón,🔷 Grupo Disbattery 🟦,Píritu,Píritu
Falcón ,Pueblo Nuevo Falcón,🔷 Grupo Disbattery 🟦,Adaure,Falcón
Falcón ,Puerto Cumarebo,🔷 Grupo Disbattery 🟦,Zamora,Zamora
Falcón ,Punta Cardón,🔷 Grupo Disbattery 🟦,Norte,Carirubana
Falcón ,Punto Fijo,🔷 Grupo Disbattery 🟦,Norte,Carirubana
Falcón ,San Juan de Los Cayos,🔷 Grupo Disbattery 🟦,Capadare,Acosta
Falcón ,San Luis,🔷 Grupo Disbattery 🟦,Bolívar,Bolívar
Falcón ,Santa Ana Falcón,🔷 Grupo Disbattery 🟦,Miranda,Miranda
Falcón ,Santa Cruz De Bucaral,🔷 Grupo Disbattery 🟦,El Charal,Unión
Falcón ,Tocopero,🔷 Grupo Disbattery 🟦,Tocopero,Tocopero
Falcón ,Tocuyo de La Costa,🔷 Grupo Disbattery 🟦,Boca del Tocuyo,Monseñor Iturriza
Falcón ,Tucacas,🔷 Grupo Disbattery 🟦,Tucacas,Silva
Falcón ,Yaracal,🔷 Grupo Disbattery 🟦,Cacique Manaure,Cacique Manaure
Guárico ,Altagracia de Orituco,✨Blitz 2000🔵,Altagracia de Orituco,José Tadeo Monagas
Guárico ,Cabruta,✨Blitz 2000🔵,Las Mercedes,Las Mercedes
Guárico ,Calabozo,✨Blitz 2000🔵,Atapirire,Francisco de Miranda
Guárico ,Camaguán,✨Blitz 2000🔵,Camaguán,Camaguán
Guárico ,Chaguaramas Guárico,✨Blitz 2000🔵,Chaguaramas,Chaguaramas
Guárico ,El Socorro,✨Blitz 2000🔵,El Socorro,El Socorro
Guárico ,El Sombrero,✨Blitz 2000🔵,El Sombrero,Julián Mellado
Guárico ,Las Mercedes de Los Llanos,✨Blitz 2000🔵,Las Mercedes,Las Mercedes
Guárico ,Lezama,✨Blitz 2000🔵,Altagracia de Orituco,José Tadeo Monagas
Guárico ,Onoto,✨Blitz 2000🔵,Cantaclaro,Juan Germán Roscio
Guárico ,Ortíz,✨Blitz 2000🔵,Ortíz,Ortiz
Guárico ,San José de Guaribe,✨Blitz 2000🔵,San José de Guaribe,San José de Guaribe
Guárico ,San Juan de Los Morros,✨Blitz 2000🔵,Cantaclaro,Juan Germán Roscio
Guárico ,San Rafael de Laya,✨Blitz 2000🔵,Atapirire,Francisco de Miranda
Guárico ,Santa María de Ipire,✨Blitz 2000🔵,Santa María de Ipire,Santa María de Ipire
Guárico ,Tucupido,✨Blitz 2000🔵,José Félix Ribas,José Félix Ribas
Guárico ,Valle de La Pascua,✨Blitz 2000🔵,Valle de la Pascua,Leonardo Infante
Guárico ,Zaraza,✨Blitz 2000🔵,San José de Unare,Pedro Zaraza
Lara ,Aguada Grande,🔷 Grupo Disbattery 🟦,Urdaneta,Urdaneta
Lara ,Atarigua,🔷 Grupo Disbattery 🟦,Trinidad Samuel,Torres
Lara ,Barquisimeto,🔷 Grupo Disbattery 🟦,Catedral,Iribarren
Lara ,Bobare,🔷 Grupo Disbattery 🟦,Catedral,Iribarren
Lara ,Cabudare,🔷 Grupo Disbattery 🟦,Cabudare,Palavecino
Lara ,Carora,🔷 Grupo Disbattery 🟦,Trinidad Samuel,Torres
Lara ,Cubiro,🔷 Grupo Disbattery 🟦,Juan Bautista Rodríguez,Jiménez
Lara ,Cují,🔷 Grupo Disbattery 🟦,Catedral,Iribarren
Lara ,Duaca,🔷 Grupo Disbattery 🟦,Fréitez,Crespo
Lara ,El Manzano,🔷 Grupo Disbattery 🟦,El Cantón,Andrés Eloy Blanco
Lara ,El Tocuyo,🔷 Grupo Disbattery 🟦,Bolívar,Morán
Lara ,Guaríco,🔷 Grupo Disbattery 🟦,Bolívar,Morán
Lara ,Humocaro Alto,🔷 Grupo Disbattery 🟦,Bolívar,Morán
Lara ,Humocaro Bajo,🔷 Grupo Disbattery 🟦,Bolívar,Morán
Lara ,La Miel,🔷 Grupo Disbattery 🟦,Trinidad Samuel,Torres
Lara ,Moroturo,🔷 Grupo Disbattery 🟦,Trinidad Samuel,Torres
Lara ,Quíbor,🔷 Grupo Disbattery 🟦,Juan Bautista Rodríguez,Jiménez
Lara ,Río Claro,🔷 Grupo Disbattery 🟦,Trinidad Samuel,Torres
Lara ,Sanare,🔷 Grupo Disbattery 🟦,El Cantón,Andrés Eloy Blanco
Lara ,Santa Inés,🔷 Grupo Disbattery 🟦,Trinidad Samuel,Torres
Lara ,Sarare,🔷 Grupo Disbattery 🟦,Sarare,Simón Planas
Lara ,Siquisique,🔷 Grupo Disbattery 🟦,Urdaneta,Urdaneta
Lara ,Tintorero,🔷 Grupo Disbattery 🟦,Juan Bautista Rodríguez,Jiménez
Mérida ,Apartaderos Mérida,🏆 Grupo Victoria 🟡,Cacute,Rangel
Mérida ,Arapuey,🏆 Grupo Victoria 🟡,Arapuey,Julio César Salas
Mérida ,Bailadores,🏆 Grupo Victoria 🟡,Gerónimo Maldonado,Rivas Dávila
Mérida ,Caja Seca,🏆 Grupo Victoria 🟡,Cagua,Sucre
Mérida ,Canaguá,🏆 Grupo Victoria 🟡,Canagua,Arzobispo Chacón
Mérida ,Chachopo,🏆 Grupo Victoria 🟡,Miranda,Miranda
Mérida ,Chiguara,🏆 Grupo Victoria 🟡,Cagua,Sucre
Mérida ,Ejido,🏆 Grupo Victoria 🟡,Fernández Peña,Campo Elías
Mérida ,El Vigía,🏆 Grupo Victoria 🟡,Presidente Betancourt,Alberto Adriani
Mérida ,La Azulita,🏆 Grupo Victoria 🟡,La Azulita,Andrés Bello
Mérida ,La Playa,🏆 Grupo Victoria 🟡,Cagua,Sucre
Mérida ,Lagunillas Mérida,🏆 Grupo Victoria 🟡,Cagua,Sucre
Mérida ,Mérida,🏆 Grupo Victoria 🟡,Palo Negro,Libertador
Mérida ,Mesa de Bolívar,🏆 Grupo Victoria 🟡,Santa Cruz de Mora,Antonio Pinto Salinas
Mérida ,Mucuchíes,🏆 Grupo Victoria 🟡,Cacute,Rangel
Mérida ,Mucujepe,🏆 Grupo Victoria 🟡,San Cristóbal de Torondoy,Justo Briceño
Mérida ,Mucuruba,🏆 Grupo Victoria 🟡,Cacute,Rangel
Mérida ,Nueva Bolivia,🏆 Grupo Victoria 🟡,Independencia,Tulio Febres Cordero
Mérida ,Palmarito,🏆 Grupo Victoria 🟡,Independencia,Tulio Febres Cordero
Mérida ,Pueblo Llano,🏆 Grupo Victoria 🟡,Pueblo Llano,Pueblo Llano
Mérida ,Santa Cruz de Mora,🏆 Grupo Victoria 🟡,Santa Cruz de Mora,Antonio Pinto Salinas
Mérida ,Santa Elena de Arenales,🏆 Grupo Victoria 🟡,Eloy Paredes,Obispo Ramos de Lora
Mérida ,Santo Domingo,🏆 Grupo Victoria 🟡,Santo Domingo,Cardenal Quintero
Mérida ,Tabáy,🏆 Grupo Victoria 🟡,Tabay,Santos Marquina
Mérida ,Timotes,🏆 Grupo Victoria 🟡,Miranda,Miranda
Mérida ,Torondoy,🏆 Grupo Victoria 🟡,San Cristóbal de Torondoy,Justo Briceño
Mérida ,Tovar,🏆 Grupo Victoria 🟡,Tovar,Tovar
Mérida ,Tucani,🏆 Grupo Victoria 🟡,Tucaní,Caracciolo Parra Olmedo
Mérida ,Zea,🏆 Grupo Victoria 🟡,Caño El Tigre,Zea
MIranda ,Caracas (Área Metropolitana),🔷 Grupo Disbattery 🟦,"Nuestra Señora del Rosario de Baruta, El Cafetal y Las Minas de Baruta",Baruta
Miranda ,Araguita,🔷 Grupo Disbattery 🟦,Aragüita,Acevedo
Miranda ,Carrizal,🔷 Grupo Disbattery 🟦,Carrizal,Carrizal
Miranda ,Caucagua,🔷 Grupo Disbattery 🟦,Aragüita,Acevedo
Miranda ,Charallave,🔷 Grupo Disbattery 🟦,Charallave,Cristóbal Rojas
Miranda ,Chirimena,🔷 Grupo Disbattery 🟦,Higuerote,Brión
Miranda ,Chuspa,🔷 Grupo Disbattery 🟦,Higuerote,Brión
Miranda ,Cúa,🔷 Grupo Disbattery 🟦,Urdaneta,Urdaneta
Miranda ,Cupira,🔷 Grupo Disbattery 🟦,Cúpira,Pedro Gual
Miranda ,Curiepe,🔷 Grupo Disbattery 🟦,Higuerote,Brión
Miranda ,El Guapo,🔷 Grupo Disbattery 🟦,Guasdualito,Páez
Miranda ,El Jarillo,🔷 Grupo Disbattery 🟦,Altagracia de la Montaña,Guaicaipuro
Miranda ,Filas de Mariche,🔷 Grupo Disbattery 🟦,Cagua,Sucre
Miranda ,Guarenas,🔷 Grupo Disbattery 🟦,Guarenas,Plaza
Miranda ,Guatire,🔷 Grupo Disbattery 🟦,Zamora,Zamora
Miranda ,Higuerote,🔷 Grupo Disbattery 🟦,Higuerote,Brión
Miranda ,Los Anaucos,🔷 Grupo Disbattery 🟦,Guarenas,Plaza
Miranda ,Los Teques,🔷 Grupo Disbattery 🟦,Altagracia de la Montaña,Guaicaipuro
Miranda ,Ocumare del Tuy,🔷 Grupo Disbattery 🟦,La Democracia,Lander
Miranda ,Panaquire,🔷 Grupo Disbattery 🟦,Aragüita,Acevedo
Miranda ,Paracotos,🔷 Grupo Disbattery 🟦,Altagracia de la Montaña,Guaicaipuro
Miranda ,Río Chico,🔷 Grupo Disbattery 🟦,Guasdualito,Páez
Miranda ,San Antonio de Los Altos,🔷 Grupo Disbattery 🟦,San Antonio de los Altos,Los Salias
Miranda ,San Diego de Los Altos,🔷 Grupo Disbattery 🟦,Altagracia de la Montaña,Guaicaipuro
Miranda ,San Fernando del Guapo,🔷 Grupo Disbattery 🟦,Guasdualito,Páez
Miranda ,San Francisco de Yare,🔷 Grupo Disbattery 🟦,Bergantín,Simón Bolívar
Miranda ,San José de Los Altos,🔷 Grupo Disbattery 🟦,San Antonio de los Altos,Los Salias
Miranda ,San José de Río Chico,🔷 Grupo Disbattery 🟦,Guasdualito,Páez
Miranda ,San Pedro de Los Altos,🔷 Grupo Disbattery 🟦,Altagracia de la Montaña,Guaicaipuro
Miranda ,Santa Lucía,🔷 Grupo Disbattery 🟦,Santa Lucía del Tuy,Paz Castillo
Miranda ,Santa Teresa,🔷 Grupo Disbattery 🟦,Mamo,Independencia
Miranda ,Tacarigua de La Laguna,🔷 Grupo Disbattery 🟦,Guasdualito,Páez
Miranda ,Tacarigua de Mamporal,🔷 Grupo Disbattery 🟦,Mamporal,Buroz
Miranda ,Tácata,🔷 Grupo Disbattery 🟦,Altagracia de la Montaña,Guaicaipuro
Miranda ,Turumo,🔷 Grupo Disbattery 🟦,Cagua,Sucre
Monagas ,Aguasay,🌅 Oceano Pacifico 🟧,Aguasay,Aguasay
Monagas ,Aragua de Maturín,🌅 Oceano Pacifico 🟧,Andrés Eloy Blanco,Piar
Monagas ,Barrancas del Orinoco,🌅 Oceano Pacifico 🟧,Barrancas,Sotillo
Monagas ,Caicara de Maturín,🌅 Oceano Pacifico 🟧,Cedeño,Cedeño
Monagas ,Caripe,🌅 Oceano Pacifico 🟧,El Guácharo,Caripe
Monagas ,Caripito,🌅 Oceano Pacifico 🟧,Bolívar,Bolívar
Monagas ,Chaguaramal,🌅 Oceano Pacifico 🟧,Palo Negro,Libertador
Monagas ,Chaguaramas Monagas,🌅 Oceano Pacifico 🟧,Palo Negro,Libertador
Monagas ,El Furrial,🌅 Oceano Pacifico 🟧,Alto de los Godos,Maturín
Monagas ,El Tejero,🌅 Oceano Pacifico 🟧,Santa Bárbara,Ezequiel Zamora
Monagas ,Jusepín,🌅 Oceano Pacifico 🟧,Alto de los Godos,Maturín
Monagas ,La Toscana,🌅 Oceano Pacifico 🟧,Andrés Eloy Blanco,Piar
Monagas ,Maturín,🌅 Oceano Pacifico 🟧,Alto de los Godos,Maturín
Monagas ,Miraflores,🌅 Oceano Pacifico 🟧,Andrés Eloy Blanco,Piar
Monagas ,Punta de Mata,🌅 Oceano Pacifico 🟧,Santa Bárbara,Ezequiel Zamora
Monagas ,Quiriquire,🌅 Oceano Pacifico 🟧,Cachipo,Punceres
Monagas ,San Antonio de Maturín,🌅 Oceano Pacifico 🟧,Capadare,Acosta
Monagas ,San Vicente Monagas,🌅 Oceano Pacifico 🟧,Andrés Eloy Blanco,Piar
Monagas ,Santa Bárbara,🌅 Oceano Pacifico 🟧,Santa Bárbara,Santa Bárbara
Monagas ,Temblador,🌅 Oceano Pacifico 🟧,Palo Negro,Libertador
Monagas ,Teresen,🌅 Oceano Pacifico 🟧,Andrés Eloy Blanco,Piar
Monagas ,Uracoa,🌅 Oceano Pacifico 🟧,Uracoa,Uracoa
Nueva Esparta ,Altagracia,🌅 Oceano Pacifico 🟧,Bolívar,Gómez
Nueva Esparta ,Boca de Pozo,🌅 Oceano Pacifico 🟧,San Francisco de Macanao,Península de Macanao
Nueva Esparta ,Boca de Río,🌅 Oceano Pacifico 🟧,San Francisco de Macanao,Península de Macanao
Nueva Esparta ,El Espinal,🌅 Oceano Pacifico 🟧,San Juan Bautista,Díaz
Nueva Esparta ,El Valle del Espíritu Santo,🌅 Oceano Pacifico 🟧,García,García
Nueva Esparta ,El Yaque,🌅 Oceano Pacifico 🟧,Tubores,Tubores
Nueva Esparta ,Juangriego,🌅 Oceano Pacifico 🟧,Adrián,Marcano
Nueva Esparta ,La Asunción,🌅 Oceano Pacifico 🟧,Arismendi,Arismendi
Nueva Esparta ,La Guardia,🌅 Oceano Pacifico 🟧,Adrián,Marcano
Nueva Esparta ,Pampatar,🌅 Oceano Pacifico 🟧,Aguirre,Maneiro
Nueva Esparta ,Porlamar,🌅 Oceano Pacifico 🟧,Porlamar,Mariño
Nueva Esparta ,Puerto Fermín,🌅 Oceano Pacifico 🟧,Antolín del Campo,Antolín del Campo
Nueva Esparta ,Punta de Piedras,🌅 Oceano Pacifico 🟧,Tubores,Tubores
Nueva Esparta ,San Francisco de Macanao,🌅 Oceano Pacifico 🟧,San Francisco de Macanao,Península de Macanao
